conversation_id_str,created_at,favorite_count,text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1844949292106293440,Sun Oct 13 09:03:04 +0000 2024,0,udah tau gua gua jawab sakit terus lo jawab gini  sakitan mana curang in ama gibran wkwkw tai tai ujung ujung nya politik  makan tu politik,1845389784291869071,,menaramasjid,in,,0,0,0,https://x.com/KokMau290365/status/1845389784291869071,1803760975092563968,KokMau290365
1845389782316351524,Sun Oct 13 09:03:04 +0000 2024,0,wah keren banget nih program makan bergizi gratis prabowo gibran  semoga beneran impactful   makanbergiziuntukbangsa,1845389782316351524,,,in,,0,0,0,https://x.com/raditya_arfian5/status/1845389782316351524,1690978160756867072,raditya_arfian5
1845389752163242304,Sun Oct 13 09:02:57 +0000 2024,0,prabowo gibran tunjukkan aksi nyata masa depan generasi muda   makanbergiziuntukbangsa,1845389752163242304,,,in,,0,0,0,https://x.com/galang_dwiwana/status/1845389752163242304,1699636033267367936,galang_dwiwana
1845389704650424436,Sun Oct 13 09:02:45 +0000 2024,0,prabowo gibran hadirkan makan bergizi gratis masa depan bangsa lebih baik   makanbergiziuntukbangsa,1845389704650424436,,,in,,0,0,0,https://x.com/shazfa_fahtran/status/1845389704650424436,1701491062878212096,shazfa_fahtran
1845389657900712156,Sun Oct 13 09:02:34 +0000 2024,0,ahy gibran dipersiapkan pilpres 2029 rocky gerung  mesti periksa intelektualitasnya,1845389657900712156,,,in,,0,0,0,https://x.com/bisnisbandung63/status/1845389657900712156,1690969676287983616,bisnisbandung63
1845389618369446270,Sun Oct 13 09:02:25 +0000 2024,0,terima kasih pak prabowo mas gibran anak anak makin semangat belajar  makanbergiziuntukbangsa,1845389618369446270,,,in,,0,0,0,https://x.com/padmi_laila/status/1845389618369446270,1702542676187570176,padmi_laila
1845389579010048428,Sun Oct 13 09:02:15 +0000 2024,0,terima kasih prabowo gibran program sungguh luar biasa   makanbergiziuntukbangsa,1845389579010048428,,,in,,0,0,0,https://x.com/vika_yunita8/status/1845389579010048428,1833804753463328768,vika_yunita8
1845389557216444929,Sun Oct 13 09:02:10 +0000 2024,0,langkah prabowo gibran makan bergizi gratis selamatkan generasi bangsa   makanbergiziuntukbangsa,1845389557216444929,,,in,,0,0,0,https://x.com/taufikk_330/status/1845389557216444929,1695009849090940929,taufikk_330
1845389534004904161,Sun Oct 13 09:02:05 +0000 2024,0,program makan bergizi prabowo gibran langkah tepat selamatkan generasi bangsa   makanbergiziuntukbangsa,1845389534004904161,,,in,,0,0,0,https://x.com/mika_tahm1/status/1845389534004904161,1696365680067747840,mika_tahm1
1845076953021415478,Sun Oct 13 09:01:55 +0000 2024,0,gibran apa titipan biar jokowi aman   jgn lantik anak haram konstitusi,1845389491776913644,,alisyarief,in,,0,0,0,https://x.com/Aja8Rachman/status/1845389491776913644,1613018645088833536,Aja8Rachman
